color,dealer_rating,miles,miles_away,pricing,trim,year
Gray,,30636,139.3,18997,Touring,2016
Blue,,31526,146.2,19441,Touring,2016
Silver,,33822,146.2,19994,Touring,2016
Blue,,28625,146.2,24994,Grand Touring,2017
Gray,,44895,146.6,16250,Touring,2015
Black,,58509,150.2,18200,Grand Touring,2016
Blue,,43154,100.6,18152,Touring,2016
Blue,,40264,100.6,18722,Touring,2016
Black,,34090,100.6,18991,Touring,2016
White,,34233,100.6,18992,Touring,2016
White,,40878,100.6,18999,Touring,2016
Black,,33523,100.6,18999,Touring,2016
White,,35598,100.6,18999,Touring,2016
Blue,,35592,100.6,18999,Touring,2016
White,,36061,100.6,21842,Grand Touring,2016
Black,,29712,100.6,22493,Grand Touring,2016
Silver,,27159,100.6,22944,Grand Touring,2016
Black,,46533,160.4,19003,Grand Touring,2015
White,,83996,28.6,14200,Grand Touring,2014
Black,,17212,26.7,26530,Grand Touring,2019
Gray,,49204,,15900,Grand Touring,2013
Silver,,82172,190.8,11995,Touring,2013
White,,37257,41.8,16999,Grand Touring,2016
Silver,,30799,132.3,16497,Sport,2016
Gray,,36024,139.0,18750,Touring,2016
Black,,44919,139.0,20550,Grand Touring,2016
White,,44309,139.0,20990,Grand Touring,2016
Black,,38533,139.0,21450,Grand Touring,2016
Black,,13760,95.3,26000,Grand Touring,2019
Silver,,13516,95.3,26390,Grand Touring,2019
Gray,,42050,143.5,16532,Sport,2016
Gray,,31360,143.5,16799,Sport,2016
Black,,37715,143.5,16991,Sport,2016
Gray,,42530,143.5,17445,Touring,2016
Silver,,41605,143.5,17599,Touring,2016
Blue,,48460,143.5,17707,Grand Touring,2015
White,,42300,143.5,17909,Touring,2016
Silver,,36045,143.5,17993,Touring,2016
Silver,,33080,143.5,17993,Touring,2016
Red,,35585,143.5,18488,Touring,2016
White,,41975,143.5,18909,Grand Touring,2016
Blue,,41980,143.5,18999,Grand Touring,2016
Black,,15986,163.6,24990,Grand Touring,2019
White,,15844,106.2,25900,Grand Touring,2018
Red,,57566,108.4,16850,Grand Touring,2014
White,,55816,109.5,16996,Touring,2016
Silver,,44914,109.5,20225,Grand Touring,2016
Blue,,30700,109.5,25000,Grand Touring,2018
White,,38177,194.0,16987,Touring,2016
Black,,27008,111.4,22599,Grand Touring,2016
Red,,38175,113.7,19997,Grand Touring,2016
Silver,,18141,46.1,26195,Grand Touring,2018
Silver,,41039,124.1,19994,Grand Touring,2016
Blue,,70821,61.4,13989,Touring,2014
Gray,,30947,142.3,21988,Touring,2017
Blue,,81668,33.2,14788,Grand Touring,2015
Silver,,35288,158.3,19799,Grand Touring,2016
Silver,,33849,158.3,20299,Grand Touring,2016
Gray,,14035,158.3,24989,Touring,2017
Gray,,37990,160.2,18500,Touring,2016
White,,30605,164.6,21230,Grand Touring,2016
Black,,35925,174.0,17969,Touring,2016
Black,,44367,174.0,19915,Grand Touring,2016
Blue,,37175,175.6,17500,Touring,2016
Black,,39036,179.5,19700,Grand Touring,2016
Black,,41964,181.1,17995,Touring,2016
Black,,32943,181.1,17995,Touring,2016
Silver,,39920,181.1,19995,Grand Touring,2016
Blue,,35637,181.1,19995,Grand Touring,2016
Blue,,30972,181.1,20995,Grand Touring,2016
White,,27502,183.7,15495,Touring,2016
Silver,,34575,183.7,16995,Touring,2016
Blue,,54228,183.7,16995,Grand Touring,2015
Blue,,25670,183.7,17995,Grand Touring,2016
Silver,,31965,183.7,18995,Grand Touring,2016
Silver,,59594,190.1,12990,Sport,2016
White,,28331,194.2,23900,Grand Touring,2017
White,,4995,194.2,28500,Touring,2019
White,,4995,194.2,28500,Touring,2019
Black,,40660,194.5,20500,Grand Touring,2016
Silver,,37306,196.7,15951,Sport,2016
Silver,,52252,53.0,15987,Touring,2016
Black,,62849,22.2,16771,Grand Touring,2015
Black,,18940,34.8,26000,Grand Touring,2019
Silver,,19735,34.8,26375,Grand Touring,2019
Silver,,55520,127.6,17699,Grand Touring,2016
Red,,48373,127.6,18999,Grand Touring,2016
Gray,,64800,,17100,Grand Touring,2015
Silver,,24675,,26860,Grand Touring,2019
White,,47256,98.3,17429,Touring,2016
Red,,25948,98.3,22167,Grand Touring,2016
Silver,,35452,103.1,20350,Touring,2018
White,,60782,68.7,17700,Grand Touring,2015
Black,,58164,38.0,17250,Touring,2016
Blue,,31252,123.8,25398,Grand Touring,2018
Silver,,18411,123.8,26995,Grand Touring,2019
Red,,4414,123.8,28985,Touring,2019
White,,12167,90.1,24500,Grand Touring,2017
Black,,25988,135.6,24772,Grand Touring,2018
Gray,,24365,139.3,20599,Touring,2016
Blue,,19583,139.3,26999,Grand Touring,2019
Gray,,38269,144.7,13990,Sport,2013
Blue,,53252,150.2,17400,Touring,2016
White,,53570,150.2,19000,Grand Touring,2016
White,,50386,150.2,19100,Grand Touring,2016
White,,42184,100.6,17292,Sport,2016
Gray,,31652,100.6,22754,Grand Touring,2016
Gray,,138710,190.3,9250,Touring,2014
Gray,,93292,190.3,13250,Grand Touring,2015
White,,51382,190.3,18850,Grand Touring,2016
Blue,,76099,88.2,12795,Sport,2013
Black,,95949,125.8,12995,Grand Touring,2015
Black,,49913,127.7,19488,Grand Touring,2016
Blue,,26653,92.7,19995,Touring,2015
Gray,,28257,92.7,23995,Grand Touring,2016
Silver,,18419,139.0,27750,Grand Touring,2019
Blue,,9796,139.0,31950,Grand Touring Reserve,2019
Blue,,43215,143.5,18577,Touring,2016
Silver,,34776,99.9,19211,Touring,2016
Red,,136375,165.2,9988,Touring,2016
Red,,82196,190.8,13900,Grand Touring,2015
Red,,19035,109.5,19954,Touring,2016
Black,,16231,109.5,24715,Touring,2017
Silver,,16881,109.5,27903,Grand Touring,2019
Gray,,57669,192.9,16151,Touring,2016
Red,,99174,194.0,10497,Touring,2013
White,,33300,111.4,21599,Grand Touring,2016
Blue,,27112,113.7,19999,Touring,2016
Gray,,16657,113.7,20599,Touring,2016
White,,20461,124.1,26999,Grand Touring,2019
Silver,,61952,125.7,15700,Touring,2014
Gray,,6101,131.7,26992,Grand Touring,2019
Black,,21339,139.9,25070,Grand Touring,2018
Red,,45578,141.2,18495,Grand Touring,2016
Blue,,59695,142.3,16988,Touring,2016
Blue,,33334,142.3,23988,Touring,2017
Blue,,6250,142.3,28488,Touring,2019
Blue,,0,142.3,29988,Grand Touring,2019
Gray,,28046,146.0,19999,Touring,2016
Silver,,27024,146.0,20599,Touring,2016
Black,,27944,146.0,22599,Grand Touring,2016
Blue,,69023,63.4,15399,Touring,2016
Silver,,53298,63.4,20499,Touring,2017
Black,,55049,151.2,21350,Grand Touring,2018
Red,,46331,33.2,20688,Grand Touring,2016
Red,,23379,30.7,22175,Sport,2017
Black,,24762,158.3,25399,Grand Touring,2017
Blue,,28381,159.2,23488,Touring,2017
Gray,,23687,159.2,25787,Grand Touring,2017
Blue,,34381,160.2,18000,Sport,2016
Gray,,37582,160.2,21500,Grand Touring,2016
Gray,,38861,160.2,22000,Grand Touring,2016
Silver,,117285,171.5,11357,Grand Touring,2013
Black,,44680,181.1,18995,Touring,2016
Black,,29555,185.9,22995,Grand Touring,2018
Black,,59764,194.2,17250,Grand Touring,2016
Red,,29258,194.2,20500,Sport,2017
Black,,14984,194.2,28800,Grand Touring,2019
Blue,,13499,194.2,28900,Grand Touring,2019
Gray,,44279,195.7,20500,Touring,2018
Blue,,15659,195.7,24500,Grand Touring,2019
Gray,,26935,200.0,19999,Touring,2016
Silver,,26308,200.0,20599,Touring,2016
Gray,,27848,200.0,22599,Grand Touring,2016
Black,,63300,85.4,15801,Grand Touring,2015
Blue,,23811,94.5,18895,Touring,2015
Blue,,131854,44.5,10814,Touring,2015
Blue,,8500,109.9,28342,Grand Touring,2019
Blue,,38578,86.1,24342,Grand Touring,2017
Black,,55403,137.3,16439,Sport,2016
Red,,102997,95.2,13350,Grand Touring,2015
Black,,90988,95.9,13499,Grand Touring,2014
Silver,,44849,98.3,21061,Grand Touring,2016
Black,,14254,105.7,27741,Grand Touring,2018
White,,65442,178.5,15770,Grand Touring,2015
Silver,,18477,68.7,26990,Grand Touring,2019
Silver,,29028,,19169,Touring,2016
Gray,,26995,,19300,Touring,2016
Red,,42456,,19500,Grand Touring,2016
Gray,,22556,,19600,Touring,2016
Silver,,21131,,19700,Touring,2016
Silver,,39916,,20000,Grand Touring,2016
Black,,35124,,20200,Grand Touring,2016
White,,29029,,21800,Grand Touring,2016
Silver,,28230,,21900,Grand Touring,2016
Black,,25889,,21900,Grand Touring,2016
Silver,,28774,,22000,Grand Touring,2016
Black,,26500,,22200,Grand Touring,2016
Silver,,27953,,22300,Grand Touring,2016
Red,,23138,,22600,Grand Touring,2016
Black,,21676,,22700,Grand Touring,2016
Black,,33789,139.3,21999,Grand Touring,2016
Silver,,62520,150.2,18000,Grand Touring,2016
Silver,,73059,154.1,16735,Grand Touring,2015
Red,,50825,100.6,18999,Grand Touring,2016
Silver,,54382,160.4,19273,Grand Touring,2016
Silver,,10841,160.4,24373,Sport,2019
Gray,,73656,,15000,Touring,2014
Gray,,65505,107.0,16995,Grand Touring,2014
Blue,,54485,188.9,17595,Grand Touring,2016
White,,6616,193.6,28500,Touring,2019
Silver,,61342,194.6,16146,Touring,2016
Red,,25989,195.3,19300,Grand Touring,2016
Blue,,19042,132.3,25497,Grand Touring,2019
Blue,,13010,92.7,24495,Sport,2018
Black,,46110,139.0,16990,Sport,2016
Silver,,45280,139.0,18450,Touring,2016
Blue,,51117,139.0,19750,Grand Touring,2016
White,,37202,139.0,19750,Touring,2016
White,,37559,95.8,17990,Touring,2016
Black,,47160,143.5,17319,Touring,2016
White,,46860,143.5,18993,Grand Touring,2016
